date,population
06-01-2014,3526.959961
07-01-2014,3557.850098
08-01-2014,3567.540039
09-01-2014,3552.580078
10-01-2014,3565.080078
13-01-2014,3512.800049
14-01-2014,3580.649902
15-01-2014,3609.840088
16-01-2014,3611.290039
17-01-2014,3591.25
21-01-2014,3617.699951
22-01-2014,3627.719971
23-01-2014,3613.76001
24-01-2014,3541.47998
27-01-2014,3509.02002
28-01-2014,3505.719971
29-01-2014,3467.820068
30-01-2014,3532.409912
31-01-2014,3521.919922
03-02-2014,3440.5
04-02-2014,3470.199951
05-02-2014,3454.899902
06-02-2014,3497.600098
07-02-2014,3561.909912
10-02-2014,3582.110107
11-02-2014,3621.719971
12-02-2014,3627.360107
13-02-2014,3659.560059
14-02-2014,3663.879883
18-02-2014,3679.429932
19-02-2014,3652.850098
20-02-2014,3671.929932
21-02-2014,3662.600098
24-02-2014,3685.810059
25-02-2014,3679.139893
26-02-2014,3676.600098
27-02-2014,3699.800049
28-02-2014,3696.100098
03-03-2014,3668.370117
04-03-2014,3719.929932
05-03-2014,3727.189941
06-03-2014,3720.929932
07-03-2014,3703.399902
10-03-2014,3706.340088
11-03-2014,3691.5
12-03-2014,3707.060059
13-03-2014,3651.48999
14-03-2014,3627.870117
17-03-2014,3662.51001
18-03-2014,3706.620117
19-03-2014,3682.73999
20-03-2014,3693.969971
21-03-2014,3653.070068
24-03-2014,3617.389893
25-03-2014,3629.72998
26-03-2014,3582.889893
27-03-2014,3563.129883
28-03-2014,3571.48999
31-03-2014,3595.73999
01-04-2014,3658.399902
02-04-2014,3665.98999
03-04-2014,3637.580078
04-04-2014,3539.379883
07-04-2014,3507.75
08-04-2014,3538.22998
09-04-2014,3600.439941
10-04-2014,3487.76001
11-04-2014,3446.850098
14-04-2014,3474.629883
15-04-2014,3487.850098
16-04-2014,3533.090088
17-04-2014,3534.530029
21-04-2014,3559.949951
22-04-2014,3588.810059
23-04-2014,3557.040039
24-04-2014,3591.030029
25-04-2014,3533.100098
28-04-2014,3545.030029
29-04-2014,3573.98999
30-04-2014,3582.02002
01-05-2014,3594.360107
02-05-2014,3587.639893
05-05-2014,3605.090088
06-05-2014,3556.51001
07-05-2014,3546.469971
08-05-2014,3540.419922
09-05-2014,3555.699951
12-05-2014,3612.72998
13-05-2014,3611.129883
14-05-2014,3593.25
15-05-2014,3565.169922
16-05-2014,3587.199951
19-05-2014,3615.620117
20-05-2014,3600.310059
21-05-2014,3635.610107
22-05-2014,3650.860107
23-05-2014,3677.330078
27-05-2014,3723.070068
28-05-2014,3712.26001
29-05-2014,3735.719971
30-05-2014,3736.820068
02-06-2014,3732.959961
03-06-2014,3730.070068
04-06-2014,3743.590088
05-06-2014,3776.949951
06-06-2014,3794.570068
09-06-2014,3795.73999
10-06-2014,3800.860107
11-06-2014,3797.850098
12-06-2014,3763.800049
13-06-2014,3775.560059
16-06-2014,3779.929932
17-06-2014,3781.320068
18-06-2014,3804.610107
19-06-2014,3800.800049
20-06-2014,3802.639893
23-06-2014,3805.310059
24-06-2014,3799.530029
25-06-2014,3827.330078
26-06-2014,3826.909912
27-06-2014,3844.439941
30-06-2014,3849.47998
01-07-2014,3894.330078
02-07-2014,3899.27002
03-07-2014,3923.01001
07-07-2014,3910.709961
08-07-2014,3864.070068
09-07-2014,3892.909912
10-07-2014,3880.040039
11-07-2014,3904.580078
14-07-2014,3929.459961
15-07-2014,3914.459961
16-07-2014,3932.330078
17-07-2014,3878.01001
18-07-2014,3939.889893
21-07-2014,3934.139893
22-07-2014,3961.620117
23-07-2014,3986.189941
24-07-2014,3983.189941
25-07-2014,3965.169922
28-07-2014,3967.23999
29-07-2014,3959.030029
30-07-2014,3976.070068
31-07-2014,3892.5
01-08-2014,3879.669922
04-08-2014,3908.77002
05-08-2014,3874.939941
06-08-2014,3874.27002
07-08-2014,3857.939941
08-08-2014,3888.090088
11-08-2014,3910.459961
12-08-2014,3905.22998
13-08-2014,3949.199951
14-08-2014,3969.110107
15-08-2014,3987.51001
18-08-2014,4020.5
19-08-2014,4040.129883
20-08-2014,4040.709961
21-08-2014,4047.030029
22-08-2014,4052.75
25-08-2014,4067.47998
26-08-2014,4071.669922
27-08-2014,4073.179932
28-08-2014,4066.27002
29-08-2014,4082.560059
02-09-2014,4095.810059
03-09-2014,4070.959961
04-09-2014,4066.129883
05-09-2014,4089.919922
08-09-2014,4095.469971
09-09-2014,4061.879883
10-09-2014,4094.969971
11-09-2014,4092.649902
12-09-2014,4069.22998
15-09-2014,4029.889893
16-09-2014,4067.27002
17-09-2014,4073.570068
18-09-2014,4103.080078
19-09-2014,4100.089844
22-09-2014,4061.22998
23-09-2014,4051.570068
24-09-2014,4094.310059
